n,insertDuration,searchDuration,startsWithDuration,getAllWithPrefixDuration
7911,9500,2709,1125,21792
7921,9041,2792,709,27542
7931,8833,2750,708,23041
7941,9667,3000,791,23709
7951,9417,3000,875,38041
7961,9125,2583,667,21083
7971,8792,3042,708,14000
7981,8666,2792,1167,25083
7991,19042,2833,1000,23625
8001,8750,2750,1042,30708
8011,8875,2625,708,20375
8021,8459,2917,958,26084
8031,8875,2583,834,29292
8041,9375,2750,875,14125
8051,9375,2625,709,18000
8061,8625,2917,1083,30500
8071,11083,2834,875,27375
8081,10459,2709,750,24125
8091,8708,2667,708,28667
8101,9500,2750,959,22625
8111,9917,2750,750,10542
8121,9292,2584,666,21417
8131,9958,2709,666,22584
8141,8916,2625,708,21500
8151,8709,2708,1000,29833
8161,8375,2666,750,23458
8171,9542,2666,1000,15917
8181,9208,2792,875,26333
8191,9750,2834,1167,32833
8201,9917,2875,750,18125
8211,9375,2750,750,21625
8221,9500,3083,750,12583
8231,8333,2791,750,31292
8241,9916,2750,833,23208
8251,8291,2875,666,18708
8261,9750,2834,833,20125
8271,9125,3125,791,25041
8281,8709,2583,708,28792
8291,8459,2875,709,24916
8301,8708,2542,667,24083
8311,9459,2833,1000,25333
8321,9042,2709,833,23917
8331,11292,3125,1000,28750
8341,9125,2666,833,30958
8351,10834,2750,1125,27291
8361,8958,3083,833,27459
8371,8667,2709,1125,30417
8381,9208,3083,875,29916
8391,9500,2834,833,24667
8401,8125,2750,4292,29292
8411,9250,2917,958,26167
8421,8458,2708,959,20833
8431,8375,2917,1042,29167
8441,9667,3000,792,31084
8451,8875,2792,750,26959
8461,9500,2792,667,19250
8471,8334,2709,750,21416
8481,9292,2667,666,13667
8491,8458,2750,709,12333
8501,9792,2583,958,35167
8511,9542,2750,750,30083
8521,10583,2500,750,28291
8531,9166,2709,833,32833
8541,8625,2917,875,21875
8551,9417,2791,667,18000
8561,9334,2833,666,21500
8571,9292,2500,666,21584
8581,9333,2750,750,20000
8591,9000,2584,625,25000
8601,8542,2584,666,24250
8611,9584,2625,1000,24875
8621,8667,2709,666,26000
8631,8875,2708,834,21000
8641,8875,2666,709,32917
8651,8542,2625,708,23750
8661,7958,2875,834,27291
8671,8583,2834,708,34584
8681,10500,2834,708,36292
8691,9166,2667,625,18958
8701,7750,2708,625,25208
8711,7709,2917,750,19667
8721,9375,2709,833,25042
8731,7958,2750,667,26750
8741,8708,2792,708,24792
8751,8834,2708,792,20666
8761,8625,2666,750,26166
8771,8666,2542,875,27000
8781,8459,2625,750,40417
8791,8916,2792,833,22667
8801,9458,2834,708,22084
8811,10291,3250,875,18084
8821,9042,2792,666,28792
8831,9083,2875,667,25750
8841,9375,2792,625,32458
8851,9625,2708,625,21625
8861,7583,2792,791,18625
8871,10125,2625,1042,28375
8881,8542,2916,708,26375
8891,10292,2916,709,29583
8901,8875,2917,709,32916
8911,8625,3250,667,26458
8921,9584,2708,791,12667
8931,9417,2667,875,18000
8941,9708,2667,1000,24125
8951,8959,2750,708,24042
8961,9166,3084,750,12166
8971,8500,2666,709,15875
8981,11875,2709,1041,22416
8991,8417,2791,709,24291
9001,8709,2750,625,27250
9011,8584,2916,708,20333
9021,8792,2875,667,19250
9031,9250,3000,666,22167
9041,8500,2791,625,28250
